Document,CER,Tokens (OCR),Length (OCR),Tokens (Truth),Length (Truth),Time
208283_page_3.txt,0.1662,343,1453,259,1402,0.0000
208283_page_30.txt,0.2664,421,1615,274,1513,0.0000
208283_page_31.txt,0.1255,297,1427,254,1394,0.0145
208283_page_32.txt,0.0428,126,656,121,654,0.0000
208283_page_33.txt,0.0892,135,751,127,740,0.0000
208283_page_34.txt,0.0425,194,903,182,894,0.0000
208283_page_35.txt,0.0458,239,961,225,960,0.0022
208283_page_36.txt,0.0699,171,885,157,873,0.0140
208283_page_37.txt,0.0964,201,971,174,965,0.0000
208283_page_38.txt,0.2843,245,975,192,1150,0.0150
208283_page_39.txt,0.1483,198,863,183,870,0.0000
208283_page_4.txt,0.1027,340,1602,287,1558,0.0101
208283_page_40.txt,0.2806,120,506,116,556,0.0000
208283_page_41.txt,0.1304,181,904,171,920,0.0000
208283_page_42.txt,0.2347,159,700,135,703,0.0016
208283_page_43.txt,0.4137,116,472,124,626,0.0000
208283_page_5.txt,0.1884,225,950,178,913,0.0000
208283_page_6.txt,0.1001,345,1674,315,1688,0.0005
208283_page_7.txt,0.3135,137,620,125,673,0.0000
208283_page_8.txt,0.2603,230,1040,214,1333,0.0000
208283_page_9.txt,0.0942,272,1372,257,1401,0.0000
208545_page_1.txt,0.3694,382,1551,185,1681,0.0169
208545_page_10.txt,0.1153,332,1851,371,2081,0.0140
208545_page_11.txt,0.1833,150,787,161,900,0.0105
208545_page_12.txt,0.0776,496,2692,471,2782,0.0328
208545_page_13.txt,0.0871,446,2450,435,2536,0.0174
208545_page_14.txt,0.2418,155,699,164,827,0.0000
208545_page_15.txt,0.0889,496,2714,491,2880,0.0322
208545_page_16.txt,0.0722,420,2349,409,2451,0.0131
208545_page_17.txt,0.7386,36,129,31,153,0.0000
208545_page_18.txt,0.1737,299,1571,304,1733,0.0000
208545_page_19.txt,0.2566,415,2003,378,2284,0.0156
208545_page_2.txt,0.3559,367,1521,176,1613,0.0000
208545_page_20.txt,0.0482,364,2129,364,2179,0.0150
208545_page_21.txt,0.0748,232,1352,238,1404,0.0000
208545_page_22.txt,0.0313,486,2715,489,2745,0.0316
208545_page_23.txt,0.0383,481,2962,469,3004,0.0330
208545_page_24.txt,0.0305,522,3206,527,3278,0.0392
208545_page_25.txt,0.0442,531,3163,530,3255,0.0283
208545_page_26.txt,0.0881,492,2936,493,3132,0.0410
208545_page_27.txt,0.0499,331,1941,328,2005,0.0140
208545_page_28.txt,0.0455,452,2712,446,2750,0.0156
208545_page_29.txt,0.0507,495,2866,492,2921,0.0309
208545_page_3.txt,0.1680,422,2188,370,2363,0.0281
208545_page_30.txt,0.0399,559,3287,555,3336,0.0388
208545_page_31.txt,0.0468,543,3111,533,3163,0.0315
208545_page_32.txt,0.0334,519,3068,522,3117,0.0323
208545_page_33.txt,0.0451,562,3297,552,3351,0.0401
208545_page_34.txt,0.0854,86,460,89,480,0.0000
208545_page_35.txt,0.0400,460,2629,449,2676,0.0188
208545_page_36.txt,0.0300,471,2978,470,3033,0.0309
208545_page_37.txt,0.0472,494,2821,482,2884,0.0313
208545_page_38.txt,0.0493,571,3306,567,3405,0.0490
208545_page_39.txt,0.1177,499,2898,491,3102,0.0336
208545_page_4.txt,0.1305,432,2502,439,2767,0.0313
208545_page_40.txt,0.0284,343,2057,335,2080,0.0154
208545_page_41.txt,0.0838,423,2576,433,2744,0.0325
208545_page_42.txt,0.0998,332,1999,315,2084,0.0156
208545_page_43.txt,0.1624,328,1918,313,2106,0.0140
208545_page_44.txt,0.8457,35,79,36,162,0.0000
208545_page_45.txt,0.3765,517,2299,476,2826,0.0249
208545_page_46.txt,0.1607,521,2781,500,3031,0.0273
208545_page_47.txt,0.2947,309,1522,285,1724,0.0115
208545_page_48.txt,0.0260,554,2941,547,2996,0.0266
208545_page_49.txt,0.0647,380,2054,345,2056,0.0156
208545_page_5.txt,0.2747,432,2099,395,2439,0.0156
208545_page_50.txt,0.0338,468,2606,468,2659,0.0323
208545_page_51.txt,0.0948,532,2979,523,3134,0.0313
208545_page_52.txt,0.4650,615,2577,576,3267,0.0312
